Assignee,Summary
sbergman,string with name of places in file open dialog show spaces as etc
jluth,fileopen particular docx at destroyed table structure start with comment
jluth,fileopen particular docx with destroyed table structure start at comment 
michael.stahl,fileopen results powerpoint odf presentation opening very small text
michael.stahl,fileopen opening powerpoint odf presentation results very small text
zolnaitamas2000,search bar history discharge is always empty
zolnaitamas2000,search bar history is always empty
zolnaitamas2000,filesave formcontrols grade controls not saved in docx
zolnaitamas2000,filesave formcontrols form controls not saved in docx
lionel,sigsegv odbc to postgresql
lionel,sigsegv odbc to postgresql
sbergman,hidden mediawiki options page
sbergman,hidden mediawiki options page
sbergman,file save as can not edit save only file after read as
sbergman,file save as can not edit read only file after save as
jluth,fileopen docx import leave results in partially incorrect paragraph style adds italics style to font property
jluth,fileopen docx import results in partially incorrect paragraph style adds italics style to font property 
serval2412,group clicking on drawing after editing a editing inside a group causes crash
serval2412,editing clicking on drawing after editing a group inside a group causes crash
erack,calc single cell filling ctrl not change data at input line
erack,calc single cell filling ctrl d does not change data at input line
sbergman,fileopen lo cannot open more than one file time a at from mac finder
sbergman,fileopen lo cannot open more than one file at a time from mac finder
kohei,fileopen specific xls office file crashes libo
kohei,fileopen specific xls office file crashes libo 
jluth,filesave footnotes do not remain at end of document doc and docx formats
jluth,filesave footnotes do not remain at end of document in doc and docx formats
markus.mohrhard,regression crash when subtotals calculated for none with cellular phone selected outside subtotal range
markus.mohrhard,regression crash when subtotals calculated for none with cell selected outside subtotal range 
markus.mohrhard,crash detail when filesave particular ods after deletion of rows
markus.mohrhard,crash when filesave particular ods after deletion of rows
jluth,horizontal vertical flip of inserted picture is not prevail
jluth,horizontal vertical flip of inserted picture is not persisted
michael.stahl,undo insertion of table row or table chromatography column crashes in a y code
michael.stahl,undo insertion of table row or table column crashes in a y code
jluth,fileopen particular docx a black background where text should be
jluth,fileopen a particular docx has a black background where text should be
michael.stahl,textbox properties exportation to ppt bad impress
michael.stahl,textbox properties export to ppt bad impress 
markus.mohrhard,conditional formatting loss of configuration in manage
markus.mohrhard,conditional formatting loss of configuration in manage 
markus.mohrhard,ui conditional formatting manage all conditions shown fully
markus.mohrhard,ui conditional formatting manage all conditions shown fully
kohei,copy and paste chart fails source the if sheet does not have the default name
kohei,copy and paste chart fails if the source sheet does not have the default name
markus.mohrhard,filesave in save ods fileopen lo
markus.mohrhard,filesave fileopen save ods in lo 
michael.stahl,editing impossible to fill text into text functions placeholder fields
michael.stahl,editing impossible to fill text into fields functions placeholder text
markus.mohrhard,crash when adding a a on comment cell
markus.mohrhard,crash when adding a comment on a cell
kohei,libreoffice crash when opening a non american standard code for information interchange named file in xml source
kohei,libreoffice crash when opening a non ascii named file in xml source
dennisfrancis.in,data labels overlap in pie chart for small pies when best fit emplacement option is set
dennisfrancis.in,data labels overlap in pie chart for small pies when best fit placement option is set 
erack,editing autofill date months wrong if day month days of month
erack,editing autofill date months wrong if day of month exceeds max days of month
jluth,fileopen sometime document controls in xlsm import dont fire macros
jluth,fileopen sometime import controls in xlsm document dont fire macros
nemeth,fileopen table in set back docx is not rendered correctly due repeat heading bad handling of isolated tblheader row settings
nemeth,fileopen table in docx is not rendered correctly due repeat heading bad handling of isolated tblheader row settings 
kohei,autosniffing of odb content case type broken
kohei,autosniffing of odb content type broken
nemeth,add new menu options to move dustup columns in tables without overwriting the original cells
nemeth,add new menu options to move rows columns in tables without overwriting the original cells
michael.stahl,french automatic insertion of non breaking space before specific punctuation marks in editing texts broken
michael.stahl,editing automatic insertion of non breaking space before specific punctuation marks in french texts broken
michael.stahl,reportbuilder crash by following case from fdo click cancel
michael.stahl,reportbuilder crash by following case from fdo click cancel
markus.mohrhard,fileopen calc doesnt import scaling factor on set xlsx files
markus.mohrhard,fileopen calc doesnt import scaling factor set on xlsx files
jluth,text changing with animation not saved show exit editing mode text box or go to slide without
jluth,text changing with animation not saved without exit editing mode text box or go to slide show
markus.mohrhard,xls and xlsx cholecalciferol pie ends up as cholecalciferol
markus.mohrhard,xls and xlsx d pie ends up as d
kohei,manage names dialog wont show when ranges of named ranges the dialog is shown
kohei,manage names dialog wont show the ranges of named ranges when dialog is shown
jluth,writer doesnt remember non numeric zoom factors in doc file cabinet
jluth,writer doesnt remember non numeric zoom factors in doc files
nemeth,diacritics job with graphite fonts
nemeth,diacritics problem with graphite fonts
mikekaganski,fileopen documents with embedded fonts font take too long to open
mikekaganski,fileopen documents with embedded fonts take too long to open
lionel,reportbuilder by order wrong clause generated by reportbuilder
lionel,reportbuilder wrong order by clause generated by reportbuilder
michael.stahl,affected by header left right sharing in ui docx formats
michael.stahl,footer affected by header left right sharing in ui and odf docx formats
serval2412,redact embedded firebird tables with date fields let lo crash
serval2412,editing embedded firebird tables with date fields let lo crash
zolnaitamas2000,accessible caret moved events missing when editing cells atomic number if freeze is enabled a y
zolnaitamas2000,accessible caret moved events missing when editing cells if freeze is enabled a y 
zolnaitamas2000,accessibility new a widget layout start center incorrect f and f key traversal ui y
zolnaitamas2000,accessibility new ui widget layout start center incorrect f and f key traversal a y 
lionel,simultaneously refresh a table does not work when a form is open editing
lionel,editing refresh a table does not work when a form is open simultaneously 
erack,countif with criterium number does not non count empty cells
erack,countif with criterium number does not count empty cells 
michael.stahl,editing cant edit ms object ole visio in a doc document
michael.stahl,editing cant edit ole object ms visio in a doc document
erack,vitamin a segfault opening a particular file
erack,segfault opening a particular file
erack,formatted csv export problem with filesave text cells
erack,filesave csv export problem with formatted text cells
kohei,customize dialog crashes on exit
kohei,customize dialog crashes on exit
kohei,moving named name does not move range reference
kohei,moving named range does not move name reference
kohei,filesave overlining on of content partial cell lost
kohei,filesave overlining on partial content of cell lost
lionel,ui formatting of checkbox in a form alternated d became flat and flat became d
lionel,ui formatting of checkbox in a form alternated d became flat and flat became d
kohei,array formula bug sum len a a adds empty cells
kohei,array formula bug sum len a a adds empty cells
jluth,viewing writer inserts an unwanted page before a text frame in docx
jluth,viewing writer inserts an unwanted page break before a text frame in docx
varga.balazs3,fileopen imported docx charts missing fable with default name
varga.balazs3,fileopen imported docx charts missing legend with default name
momonasmon,hyperlink dialog an internal target shows as br ken
momonasmon,hyperlink dialog toward an internal target shows as br ken 
michael.stahl,asseveration assertion from impldbgtestsolarmutex
michael.stahl,assertion from impldbgtestsolarmutex
jluth,formatting section vitamin a in a header ignores manual column breaks
jluth,formatting section in a header ignores manual column breaks
jluth,fileopen docx page break column break column per page correctly imported
jluth,fileopen docx page break column break in column per page not correctly imported
serval2412,ui lightproof italian translation too prospicient long in options
serval2412,ui lightproof italian translation too long in options
erack,formulas with external references sorted updated when incorrectly
erack,formulas with external references incorrectly updated when sorted
kohei,pasting special with subtract operation working if target cell is empty
kohei,pasting special with subtract operation not working if target cell is empty 
kohei,other dbsum wrong when entering datum using alt enter
kohei,other dbsum wrong when entering data using alt enter
kohei,updating range names deal messes up formula
kohei,updating range names messes up formula 
kohei,editing paste special with skitter empty cells freezes
kohei,editing paste special with skip empty cells freezes
jluth,fileopen incorrect placement of image inside a cell when position option layout in table cell is set
jluth,fileopen docx incorrect placement of image inside a cell when position option layout in table cell is set 
kohei,loses formula reference after cut
kohei,loses formula reference after cut
kohei,prospicient editing long wait on undo
kohei,editing long wait on undo
vasily.melenchuk,fileopen docx incorrect space between bullet and first line text due to wrong tween tab stop at value
vasily.melenchuk,fileopen docx incorrect space between bullet and first line text due to wrong tab stop at value
tundeth,filesave ha when saving a docx that has a picture with a hyperlink on it the hyperlink is lost
tundeth,filesave when saving a docx that has a picture with a hyperlink on it the hyperlink is lost
kohei,ui strain with dates doesnt populate right
kohei,ui filter with dates doesnt populate right
kohei,ui duplicate shortcut s in double data menu
kohei,ui duplicate shortcut s in data menu
serval2412,editing the past sigabrt end iterator
serval2412,editing sigabrt past the end iterator
s.mehrbrodt,filesave tab positions being in ppt and lost in pptx
s.mehrbrodt,filesave tab positions not being retained in ppt and being lost in pptx
zolnaitamas2000,border down and right on dont have good view
zolnaitamas2000,border down and right dont have good view
jluth,fileopen wrong spacing between numbers and lines when opening a doc file
jluth,fileopen incorrect spacing between numbers and lines when opening a doc file
erack,editing iferror ifna have an strange behaviour inside sumproduct
erack,editing ifna iferror have an strange behaviour inside sumproduct
zolnaitamas2000,fileopen doc has vauntingly black rectangles between paragraphs
zolnaitamas2000,fileopen doc has large black rectangles between paragraphs
nemeth,viewing editing spellchecker works cyrillic if there are wrong symbols in the path to libre folder
nemeth,viewing editing spellchecker works wrong if there are cyrillic symbols in the path to libre folder
markus.mohrhard,demo hang
markus.mohrhard,demo hang 
erack,setting default western language to speech none doesnt stick
erack,setting default western language to none doesnt stick
serval2412,writer exportation to mediawiki fail to recognize underline
serval2412,writer export to mediawiki fail to recognize underline 
michael.stahl,formatting numbering headings of scheme
michael.stahl,formatting numbering scheme of headings
jluth,editing compress image removes insolent settings
jluth,editing compress image removes flip settings
jluth,fileopen docx strict add up indentation not imported correctly
jluth,fileopen docx strict numbering indentation not imported correctly
michael.stahl,fileopen mso odt left it header has duplicate image in page
michael.stahl,fileopen mso odt left page header has duplicate image in it
jluth,fileopen docx cell top submit border is visible when w insideh node is present
jluth,fileopen docx cell top border is visible when w insideh node is present
lionel,commit of date unchanged field corrupts the field
lionel,commit of unchanged date field corrupts the field
sbergman,form designer assertion raised at reference h or rear segfault
sbergman,form designer assertion raised at reference h or segfault
vasily.melenchuk,fileopen numbering text paragraph indentation tab stops incorrectly docx displayed in with tab
vasily.melenchuk,fileopen numbering text paragraph indentation tab stops in docx displayed incorrectly with tab
momonasmon,toolbar drop down buttons loose drop down feature when customizing presentation toolbar
momonasmon,toolbar drop down buttons loose drop down feature when customizing presentation toolbar
serval2412,mod operator does not decimal fraction deal with decimals as described in help
serval2412,mod operator does not deal with decimals as described in help
kohei,wrong references after columns are deleted the range of delete columns partially covers the range of the cells the formula refers to
kohei,wrong references after columns are deleted when the range of delete columns partially covers the range of the cells the formula refers to
momonasmon,fileopen docx file with triggers extension doc the repair dialog
momonasmon,fileopen docx file with doc extension triggers the repair dialog
erack,no broadcast after text to columns to convert text to numbers
erack,no broadcast after text to columns to convert text to numbers
s.mehrbrodt,sidebar call for left and right alignment buttons need to be swapped in rtl
s.mehrbrodt,sidebar left and right alignment buttons need to be swapped in rtl
michael.stahl,viewing a navigator entry accounting entry in particular odt pegs cpu
michael.stahl,viewing a navigator entry in particular odt pegs cpu
jluth,ibus keyboarding solution kmfl part are not swallowed after completing the complex letter
jluth,ibus keyboarding solution kmfl characters are not swallowed after completing the complex letter 
michael.stahl,new xml document form cause document recovery dialog
michael.stahl,new xml form document cause document recovery dialog 
momonasmon,toolbar paste no longer has paste special drop down in impress draw
momonasmon,toolbar paste no longer has paste special drop down in impress draw
lionel,query parameter dialog should submit null instead of empty string
lionel,query parameter dialog should submit null instead of empty string
lionel,editing styles wizard doesnt show background form
lionel,editing form wizard doesnt show background styles
jluth,linked textboxes frames dont work in docx format
jluth,linked textboxes frames dont work in docx format
jluth,track changes accepting change in ms word merges tables modify cells
jluth,track changes accepting change in ms word merges tables cells
bakos.attilakaroly,fileopen incorrect layout of table in docx file
bakos.attilakaroly,fileopen incorrect layout of table in docx file
jluth,variable undo delete in undo list after cutting text
jluth,unevaluated variable undo delete appears in undo list after cutting text 
momonasmon,numbering toolbar icon not working for certain
momonasmon,numbering toolbar icon not working for certain locales
lionel,form tablecontrol row to last navigation often impossible
lionel,form tablecontrol navigation to last row often impossible
markus.mohrhard,xlsx in charts
markus.mohrhard,xlsx in charts
jluth,trend changed when saved as docx
jluth,style changed when saved as docx
jluth,board corrupted when saved as doc
jluth,table corrupted when saved as doc
jluth,table
jluth,table
michael.stahl,failure to load slope from ods file
michael.stahl,failure to load gradients from ods file
jluth,doc reference broken cross import field
jluth,doc import broken cross reference field
erack,columns only affects first line when width is set
erack,text to columns only affects first line when width is auto set
Katarina.Behrens,subscript and superscript have superior problems retaining formatting
Katarina.Behrens,subscript and superscript have problems retaining formatting
dennisfrancis.in,fileopen calc record correctly reads but does not apply pie label settings
dennisfrancis.in,fileopen calc correctly reads but does not apply pie label settings
markus.mohrhard,filesave xlsx chart being saved in ooxml format
markus.mohrhard,filesave xlsx chart being saved in ooxml format
markus.mohrhard,filesave xlsx chart appears with round corners rt
markus.mohrhard,filesave xlsx chart appears with round corners rt 
markus.mohrhard,fileopen chart axis label replaces ooxml on legend round trip
markus.mohrhard,fileopen chart axis label replaces legend on ooxml round trip
jluth,fileopen docx incorrect text spotlight color in table header
jluth,fileopen docx incorrect text highlight color in table header
michael.stahl,applying line replacement does not adapt font breaks
michael.stahl,applying font replacement does not adapt line breaks
jluth,emulate non splitting tables with doc is broken
jluth,emulate non splitting tables with doc is broken
varga.balazs3,fileopen decimal place chart formatting issue with imported ooxml charts
varga.balazs3,fileopen decimal place formatting issue with imported ooxml charts
jluth,data format docx
jluth,formatting docx
michael.stahl,format all comments doesnt set the format properly so it is lost when storing the documents
michael.stahl,writer format all comments doesnt set the format properly so it is lost when storing the documents 
tundeth,filesave xlsx make up image hyperlink is not exported after roundtrip
tundeth,filesave xlsx image hyperlink is not exported after roundtrip 
jluth,employ using kmfl in calc transposes characters when editing existing text
jluth,using kmfl in calc transposes characters when editing existing text
markus.mohrhard,chart axis title rotated on ooxml trip
markus.mohrhard,chart axis title rotated on ooxml round trip
jluth,filesave shapes rotated moved round on trip
jluth,filesave shapes rotated moved on round trip
momonasmon,draw has no describe toolbar
momonasmon,draw has no named toolbar
jluth,filesave surround not proper in table from docx
jluth,filesave borders not proper in table from docx
jluth,filesave per footnotes page not recognized in docx
jluth,filesave footnotes per page not recognized in docx
erack,editing for spanish cell format with the first three letters of a spanish people day of week plus date
erack,editing for spanish cell format with the first three letters of a day of week plus date
lionel,view of cell data gone in view data table
lionel,view of cell data gone in table data view
zolnaitamas2000,cannot get accessible text attributes for not in dictionary entry
zolnaitamas2000,cannot get accessible text attributes for not in dictionary entry
zolnaitamas2000,missing availableness events when selecting deselecting cells in calc
zolnaitamas2000,missing accessibility events when selecting deselecting cells in calc
erack,changing a formula to calculation include causes truncation
erack,changing a formula calculation to include causes truncation
jluth,filesave docx margins not carry on
jluth,filesave docx margins not preserve
Katarina.Behrens,very slow previewing of or blank
Katarina.Behrens,very slow previewing of or blank
jluth,editing text sack selection with shift pagedown broken part
jluth,editing text selection with shift pagedown broken part 
momonasmon,calc basic mold drawing tools dont work
momonasmon,calc basic drawing tools dont work
momonasmon,filesave when libreoffice crashes pdf saving document gtk
momonasmon,filesave pdf libreoffice crashes when saving document gtk 
vasily.melenchuk,paragraph numbering on one paragraph resets when shouldnt it
vasily.melenchuk,paragraph numbering on one paragraph resets when it shouldnt
erack,sorting natural sorting not working with letter
erack,sorting natural sorting not working with non letter
jluth,alt hug drug represent unicode characters in the basic multilingual plane by with hexadecimal digits
jluth,alt x represent unicode characters in the basic multilingual plane by with hexadecimal digits
jluth,header mislay footer lost in specific file on subsequent pages caused by page break new page style crated
jluth,header footer lost in specific file on subsequent pages caused by page break new page style crated 
zolnaitamas2000,filesave roundtrip any pptx file with creates invalid ooxml
zolnaitamas2000,filesave roundtrip any pptx file with shapes creates invalid ooxml
jluth,alt x does not execute work in any of lo beta modules any longer
jluth,alt x does not work in any of lo beta modules any longer
zolnaitamas2000,fileopen mso docx image incorrectly placed when using status alignment position top margin
zolnaitamas2000,fileopen mso docx image incorrectly placed when using alignment position top margin
michael.stahl,paste text leaves focus somewhere in the middle of the document
michael.stahl,pasting text leaves focus somewhere in the middle of the document 
lionel,fundament filter doesnt work for query fields which are sum
lionel,base filter doesnt work for query fields which are sum
lionel,left join not available in sql base parser and thus in query ui with unixodbc and sqlite
lionel,left join not available in base sql parser and thus in query ui with unixodbc and sqlite
lionel,garbage for non in null nullable integer field
lionel,garbage for null in non nullable integer field
jluth,editeng accessibleparagraph not focused on first use kmfl doesnt swallow characters
jluth,editeng accessibleparagraph not focused on first use kmfl doesnt swallow characters
jluth,characters are is displayed in gtk textbox until enter not pressed ime input japanese
jluth,characters are not displayed in gtk textbox until enter is pressed ime input japanese
jluth,docx import misplace loses landscape after first page
jluth,docx import loses landscape after first page
jluth,filesave paragraph whitened fill added to some tables in docx export
jluth,filesave paragraph white fill added to some tables in docx export
michael.stahl,docx import paragraphs wrongly paragraph in a list in particular document
michael.stahl,docx import paragraphs wrongly in a list in particular document
markus.mohrhard,fileopen usage import hangs with cpu xls
markus.mohrhard,fileopen xls import hangs with cpu usage
jluth,filesave doc does not preserve the font size in tables
jluth,filesave doc does not preserve the font size in empty tables
michael.stahl,undo table is incorrect
michael.stahl,undo autoformat table styles is incorrect 
erack,range formula incorrectly evaluated
erack,array formula incorrectly evaluated
mikekaganski,charge fileopen cant open files in path of more than chars
mikekaganski,fileopen cant open files in path of more than chars
jluth,table properties cell saved
jluth,table properties single cell spacing not saved 
s.mehrbrodt,impress hard to select hyperlink with the mouse
s.mehrbrodt,impress hard to select a hyperlink with the mouse
momonasmon,bring command save as singular uno back
momonasmon,bring back save as singular uno command
erack,sum function does not take into account precision as shown for ranges with numerate only comment
erack,sum function does not take into account precision as shown for ranges with numbers only comment 
mikekaganski,white line in bingle monitor slide show mode
mikekaganski,white line in single monitor slide show mode
erack,defining a named range for complete column or row results in broken expression formula syntax excelr c
erack,defining a named range for complete column or row results in broken expression formula syntax excelr c 
s.mehrbrodt,adjust language from target to url or address in hyperlink dialog
s.mehrbrodt,adjust language from target to url or address in hyperlink dialog 
markus.mohrhard,not solarmutex assertion locked from cancel data ranges dialog
markus.mohrhard,assertion solarmutex not locked from cancel data ranges dialog 
jluth,exported docx cannot be opened by
jluth,exported docx cannot be opened by word 
erack,percolate advanced filter dialog being modal
erack,advanced filter dialog being modal
erack,calculating some wildcard combination doesnt least at work with sumif countif
erack,calculating some wildcard combination doesnt work at least with sumif countif 
serval2412,delete column with styles resets the apply style blue pencil drop down
serval2412,delete column with styles resets the apply style drop down
jluth,clear impute direct formatting ignores area fill attributes
jluth,clear direct formatting ignores area fill attributes
Katarina.Behrens,ui special paste dialog
Katarina.Behrens,ui paste special dialog
jluth,fileopen docx long in table is only lines
jluth,fileopen docx long text in cell table is showing only lines
zolnaitamas2000,find text text widget fails to emit accessible betray object text caret moved events
zolnaitamas2000,find text text widget fails to emit accessible object text caret moved events
jluth,editing delete comment in comment deletes down menu sometimes drop the commented text
jluth,editing delete comment in comment drop down menu sometimes deletes the commented text 
Katarina.Behrens,custom gradient not odp saved to getting
Katarina.Behrens,custom gradient not getting saved to odp
momonasmon,ruler cannot be hidden
momonasmon,ruler cannot be hidden
markus.mohrhard,issue with clone conditional formatting not all copied formatting is initialize saved
markus.mohrhard,issue with clone conditional formatting not all copied formatting is saved 
erack,weekday function second parameter not checked
erack,weekday function second parameter not checked
vasily.melenchuk,fileopen docx arrows not correctly rendered
vasily.melenchuk,fileopen docx arrows not correctly rendered
sbergman,java support
sbergman,support java 
erack,effect effective add
erack,effect add effective
Katarina.Behrens,doesnt color section solid keep origin
Katarina.Behrens,solid color section doesnt keep origin
markus.mohrhard,conditional formatting gets corrupted copy paste insert
markus.mohrhard,formatting conditional formatting gets corrupted upon copy paste insert
erack,text concatenation in array mode
erack,operator text concatenation in array mode broken
serval2412,templet manager slow to load templet previews
serval2412,template manager slow to load template previews
jluth,disallow table to split pages does work for a table after the file is as doc and reopened
jluth,disallow table to split across pages does not work for a table after the file is saved as doc and reopened 
jluth,textbox background fill lost when round tripping in doc
jluth,textbox background fill lost when round tripping in doc
serge.krot,empty stimulus fields completely invisible
serge.krot,empty input fields completely invisible
momonasmon,in the startcenter there is no tooltip for the thumbnails
momonasmon,in the startcenter there is no tooltip for the thumbnails
jluth,inserting comments makes schoolbook commented text unsearchable
jluth,inserting comments makes commented text unsearchable
Katarina.Behrens,sidebar page content panel name background drop lists confusion
Katarina.Behrens,sidebar page content panel background drop lists confusion
markus.mohrhard,ms powerpoint with chart shows hidden data labels when opened in impress
markus.mohrhard,ms powerpoint with chart shows hidden data labels when opened in impress
michael.stahl,odf filter table table as child of draw custom is in case of strict odf
michael.stahl,odf filter table table as child of draw custom shape is written in case of strict odf 
erack,f breaks happy chance array formula
erack,f breaks array formula
kohei,fileopen xml date format not in column and opened as general number comment
kohei,fileopen xml date format not recognized in a column and opened as general number comment 
momonasmon,border widget must not focus the first doohickey option
momonasmon,border widget must not focus the first option
jluth,unable to compile in namespace prefix manifest on ineffectual file entry is not defined
jluth,unable to compile in namespace prefix manifest on file entry is not defined 
jluth,filesave docx header watermark draw object corrupted on roundtripped
jluth,filesave docx header watermark draw object gets corrupted on roundtripped
s.mehrbrodt,non english
s.mehrbrodt,fileopen non english numbering characters 
erack,status condition bar functions dont work across multiple sheets
erack,status bar functions dont work across multiple sheets
jluth,imported docx paragraph spacing not fileopen
jluth,fileopen docx paragraph spacing not imported
jluth,docx incorrect page break moves content to page
jluth,fileopen docx incorrect page break moves content to page 
jluth,fileopen docx table is displayed buns the text
jluth,fileopen docx table is displayed behind the text
dennisfrancis.in,fileopen docx bubble not displayed in chart
dennisfrancis.in,fileopen docx bubble not displayed in chart
varga.balazs3,filesave docx with ten y bubble chart corrupted after roundtrip
varga.balazs3,filesave docx with x y bubble chart corrupted after roundtrip
markus.mohrhard,conditional formatting is not updated when deleting vitamin a a row
markus.mohrhard,conditional formatting is not updated when deleting a row
heiko.tietze,add pallet breeze palette
heiko.tietze,add breeze palette
jluth,filesave columns in different pages after rt
jluth,filesave columns saved in different pages after rt
jluth,cell pptx table fileopen borders shouldnt be displayed
jluth,fileopen pptx table cell borders shouldnt be displayed
zolnaitamas2000,filling fileopen pptx group solid fill is not imported
zolnaitamas2000,fileopen pptx group solid fill is not imported
nemeth,fileopen docx paragraph spacing auto is imported as atomic number 
nemeth,fileopen docx paragraph spacing auto is imported as cm 
bakos.attilakaroly,fileopen doc docx wrongly placed images in table
bakos.attilakaroly,fileopen doc docx wrongly placed images in table
jluth,fileopen and missing page docx paragraph
jluth,fileopen docx missing page and paragraph
erack,garbage dump and slow saving of specific xlsx
erack,dump and slow saving of specific xlsx
jluth,edit page break dropdown between pages uses current cursor placement not first for the first time paragraph of following page
jluth,edit page break dropdown between pages uses current cursor placement not first paragraph of following page
markus.mohrhard,fileopen docx proto indo european inconsistent pie chart color
markus.mohrhard,fileopen docx inconsistent pie chart color
jluth,fileopen green image in medico header incorrectly positioned
jluth,fileopen green image in doc header incorrectly positioned
jluth,fileopen appear docx file appears to be empty
jluth,fileopen docx file appears to be empty
michael.stahl,formatting toolbar closes and cannot be reopened after converting text mathematics to math object
michael.stahl,formatting toolbar closes and cannot be reopened after converting text to math object
bakos.attilakaroly,fileopen status wrong position of ms docx chart object on import
bakos.attilakaroly,fileopen wrong position of ms docx chart object on import
jluth,fileopen docx extra thomas nelson page added between portrait and landscape pages
jluth,fileopen docx extra page added between portrait and landscape pages
jluth,fileopen docx paragraph is set to
jluth,fileopen docx paragraph spacing is set to 
jluth,docx extra added to first page
jluth,fileopen docx extra paragraph added to first page
Katarina.Behrens,filesave pptx transparent background exported not
Katarina.Behrens,filesave pptx transparent background not exported
serval2412,digital br in properties dialog
serval2412,digital signature reports br ken in properties dialog
jluth,docx autosize table created very large way past right margin
jluth,docx autosize table created very large extends way past right margin
michael.stahl,statement in swreghistory insertitems
michael.stahl,assertion in swreghistory insertitems
sbergman,inserting images into name gallery crashes when image file photo contains hash
sbergman,inserting images into photo gallery crashes when image file name contains hash 
sbergman,sortdescriptor modify delimeter property changed to char value
sbergman,sortdescriptor delimeter property changed to char value
nemeth,fileopen docx incorrect font size in btlr text
nemeth,fileopen docx incorrect font size in btlr text
jluth,text position of one line of changes when adding a border line below it
jluth,text position of one line of text changes when adding a border line below it
erack,formatting unable to change data point bar conditional formatting
erack,formatting unable to change data bar conditional formatting
jluth,docx add a empty page after each page break
jluth,fileopen docx libo will add a empty page after each page break
mikekaganski,libreoffice pdf fileopen formatting pdf is flipped upsidedown backwards
mikekaganski,libreoffice fileopen pdf formatting pdf is flipped upsidedown backwards 
mikekaganski,put just before and just after fields like formcheckbox are read only
mikekaganski,positions just before and just after fields like formcheckbox are read only
erack,applied background color is not selected when opening format cells
erack,applied background color is not selected when opening format cells background
raykowj,problem touchstone with shift tab keyboard navigation on the standard toolbar
raykowj,problem with shift tab keyboard navigation on the standard toolbar
Armin.Le.Grand,right bottom borders of export shape bound to png etc missing
Armin.Le.Grand,right bottom borders of export shape to png etc missing
bakos.attilakaroly,fileopen docx text boxes overlapping are page borders the handled wrong
bakos.attilakaroly,fileopen docx text boxes overlapping the page borders are handled wrong
serge.krot,filesave check boxes get lost when lay aside saving as xlsx
serge.krot,filesave check boxes get lost when saving as xlsx
mikekaganski,viewing beginning canvas view jumps to document of index after updating
mikekaganski,viewing document canvas view jumps to beginning of index after updating
momonasmon,color widget should list an exact number of token
momonasmon,color widget should list an exact number of items
michael.stahl,fileopen rtf incorrect paragraph break at the start out beginning of the document
michael.stahl,fileopen rtf incorrect paragraph break at the beginning of the document
jluth,fileopen incorrect column alignment conjunction in table
jluth,fileopen incorrect column alignment in table
momonasmon,color picker window in floating modal value closes itself
momonasmon,color picker window in floating mode closes itself
michael.stahl,filesave
michael.stahl,filesave
Armin.Le.Grand,error when relieve a polygon with points converted to curve
Armin.Le.Grand,error when saving a polygon with points converted to curve
nemeth,protect changes setting can be turned off even if change by reversal lock tracking is set in docx
nemeth,protect changes setting can be turned off even if lock tracking is set in docx 
jluth,docx filesave highly cropped images lose most of the crop on round trip
jluth,filesave docx highly cropped images lose most of the crop on round trip 
sbergman,ms word cannot open tripped docx
sbergman,ms word cannot open round tripped docx
serval2412,edit out error deleting relationship in embedded firebird
serval2412,editing error deleting relationship in embedded firebird
erack,odf export utilisation lo uses wrong element for user data initials in file loext sender initials
erack,odf export lo uses wrong element for user data initials in file loext sender initials 
markus.mohrhard,fileopen xlsx chart tab sheet color not imported
markus.mohrhard,fileopen xlsx chart sheet tab color not imported
serval2412,fatal error from rt click on table in relation designing window
serval2412,fatal error from rt click on table in relation design window
momonasmon,window customize styles table category in add commands empty
momonasmon,customize window styles table category in add commands empty
momonasmon,customize window styles cell category sum up in add commands empty
momonasmon,customize window styles cell category in add commands empty
momonasmon,customize window styles table add styles category in design commands empty
momonasmon,customize window styles table design styles category in add commands empty
jluth,fileopen commerce doc character properties of autokern dont override default style
jluth,fileopen doc character properties of autokern dont override default style
jluth,xlsb protection sheet is reversed
jluth,xlsb sheet protection is reversed
markus.mohrhard,fileopen xlsx the column descriptions a of column chart disappear
markus.mohrhard,fileopen xlsx the column descriptions of a column chart disappear
tundeth,filesave docx exploded donut charts do not detonate if more than column of data
tundeth,filesave docx exploded donut charts do not explode if more than column of data 
varga.balazs3,deed filesave docx chart title area fill property lost when saved as docx
varga.balazs3,filesave docx chart title area fill property lost when saved as docx
erack,autofill overwrites data with mixed empty and satisfy cells
erack,autofill overwrites data with mixed empty and filled cells
nemeth,fileopen saxexception word document xml line unknown table for docx with floating error in header
nemeth,fileopen saxexception word document xml line unknown error for docx with floating table in header
erack,calc whole selection exports export page
erack,calc export selection exports whole page 
mikekaganski,docx import substantiate unit specification for st hpsmeasure
mikekaganski,docx import support unit specification for st hpsmeasure
erack,text in form text fields no visible
erack,text in form text fields no longer visible
serval2412,inserting into a form table control date get under ones skin time time field gets stuck
serval2412,inserting into a form table control date time time field gets stuck
mikekaganski,repeat of heading rows do not work in case of vertical orientation in nd row
mikekaganski,repeat of heading rows do not work in case of vertical text orientation in nd row
nemeth,fileopen docx file numbered list number in wrong dent place not preserving hanging indent
nemeth,fileopen docx file numbered list number in wrong place not preserving hanging indent
vasily.melenchuk,fileopen docx file numbered list restarted from following section break assumes previous numbered list enumerate sequence after
